** CONVERTED FROM S2.edf using edfapi 4.2.1197.0 Linux   standalone Sep 27 2024 on Sun Feb 15 14:23:17 2026
** DATE: Thu Jan  1 01:15:21 2009
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BH7
** SERIAL NUMBER: CLO-ZAC14
** CAMERA_CONFIG: ZAC14140.SCD
** anti-saccade task by Matteo Lisi
**

MSG	4230932 BEGIN OF DESCRIPTIONS
MSG	4230932 Subject code: S2
MSG	4230932 END OF DESCRIPTIONS
INPUT	4232647	127
MSG	4232807 TRIALID 1
MSG	4232813 RECCFG CR 1000 1 1 L
MSG	4232813 ELCLCFG MTABLER
MSG	4232813 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	4232813 THRESHOLDS L 78 219
MSG	4232813 ELCL_PROC CENTROID (3)
MSG	4232813 ELCL_PCR_PARAM 5 3.0
MSG	4232814 !MODE RECORD CR 1000 1 1 L
START	4232815 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	4232815	127
4232815	  304.0	  196.5	  534.0	...
4232816	  304.0	  196.4	  536.0	...
4232817	  305.2	  196.2	  536.0	...
4232818	  305.6	  195.0	  537.0	...
4232819	  305.7	  195.0	  537.0	...
4232820	  306.9	  196.1	  529.0	...
SFIX L   4232821
4232821	  306.9	  196.1	  529.0	...
4232822	  306.1	  194.9	  537.0	...
4232823	  306.1	  194.9	  537.0	...
4232824	  305.8	  195.1	  538.0	...
4232825	  305.8	  195.2	  538.0	...
4232826	  307.4	  194.5	  539.0	...
4232827	  307.4	  194.5	  539.0	...
4232828	  307.9	  194.1	  538.0	...
4232829	  307.9	  194.1	  538.0	...
4232830	  305.3	  196.9	  531.0	...
4232831	  305.3	  196.9	  531.0	...
4232832	  305.5	  194.9	  531.0	...
4232833	  305.5	  194.9	  531.0	...
4232834	  305.7	  194.1	  531.0	...
4232835	  303.5	  194.2	  531.0	...
4232836	  303.5	  194.3	  531.0	...
4232837	  303.5	  194.4	  531.0	...
4232838	  303.4	  195.0	  532.0	...
4232839	  304.1	  196.1	  532.0	...
4232840	  304.3	  196.1	  530.0	...
4232841	  304.5	  196.3	  528.0	...
4232842	  304.4	  196.3	  528.0	...
4232843	  304.4	  196.3	  527.0	...
4232844	  305.4	  196.3	  527.0	...
4232845	  305.1	  196.3	  526.0	...
4232846	  304.9	  196.3	  526.0	...
4232847	  304.8	  196.9	  535.0	...
EFIX L   4232821	4232847	27	  305.4	  195.4	    532
SSACC L  4232848
4232848	  307.8	  196.7	  535.0	...
4232849	  307.8	  196.5	  536.0	...
4232850	  307.4	  196.6	  536.0	...
4232851	  307.0	  196.9	  531.0	...
4232852	  303.4	  197.5	  533.0	...
